,accuracy,precision,recall,f1,roc_auc,brier_score
Random Forest (raw),0.7,0.6,0.4825174825174825,0.5348837209302325,0.7323882343337595,0.21026699131266835
Random Forest + Isotonic Calibration,0.6975,0.671875,0.3006993006993007,0.41545893719806765,0.7285379989660145,0.19787047435826183
