threshold,accuracy,precision,recall,f1,false_negatives,false_positives
0.25,0.49,0.40615384615384614,0.9230769230769231,0.5641025641025641,11,193
0.3,0.645,0.5022421524663677,0.7832167832167832,0.6120218579234973,31,111
0.35,0.6775,0.5432098765432098,0.6153846153846154,0.5770491803278689,55,74
0.4,0.7225,0.626984126984127,0.5524475524475524,0.587360594795539,64,47
0.45,0.71,0.6666666666666666,0.3776223776223776,0.48214285714285715,89,27
0.5,0.6975,0.671875,0.3006993006993007,0.41545893719806765,100,21
0.55,0.685,0.6666666666666666,0.23776223776223776,0.35051546391752575,109,17
0.6,0.6825,0.7105263157894737,0.1888111888111888,0.2983425414364641,116,11
